KODE,WILAYAH,AKUNTAN,ANGGOTA BPK,ANGGOTA DPD,ANGGOTA DPR RI,ANGGOTA DPRD KAB/KOTA,ANGGOTA DPRD PROVINSI,ANGGOTA KABINET/KEMENTERIAN,ANGGOTA LEMBAGA TINGGI LAINNYA,ANGGOTA MAHKAMAH KONSTITUSI,APOTEKER,ARSITEK,ARTIS,ASISTEN AHLI,ATLIT,BELUM/TIDAK BEKERJA,BIARAWATI,BIDAN,BUPATI,BURUH HARIAN LEPAS,BURUH NELAYAN/PERIKANAN,BURUH PETERNAKAN,BURUH TANI/PERKEBUNAN,CHEFF,DOKTER,DOSEN,DUTA BESAR,GUBERNUR,GURU,IMAM MESJID,INDUSTRI,JURU MASAK,KARYAWAN BUMD,KARYAWAN BUMN,KARYAWAN HONORER,KARYAWAN SWASTA,KEPALA DESA,KEPOLISIAN RI,KONSTRUKSI,KONSULTAN,MANAJER,MEKANIK,MENGURUS RUMAH TANGGA,NELAYAN/PERIKANAN,NOTARIS,OPERATOR,PARAJI,PARANORMAL,PASTOR,PEDAGANG,PEGAWAI NEGERI SIPIL,PEKERJA PENGOLAHAN KERAJINAN,PEKERJAAN LAINNYA,PELAJAR/MAHASISWA,PELAUT,PEMBANTU RUMAH TANGGA,PENATA BUSANA,PENATA RAMBUT,PENATA RIAS,PENDATA,PENELITI,PENGACARA,PENSIUNAN,PENTERJEMAH,PENYIAR RADIO,PENYIAR TELEVISI,PERANCANG BUSANA,PERANGKAT DESA,PERAWAT,PERDAGANGAN,JMLPETANI/PEKEBUN,PETERNAK,PIALANg,PILOT,PRESIDEN,PROMOTOR ACARA,PSIKIATER/PSIKOLOG,SENIMAN,SOPIR+CB2,TABIB,TEKNISI,TENAGA TATA USAHA,TENTARA NASIONAL INDONESIA,TRANSPORTASI,TUKANG BATU,TUKANG CUKUR,TUKANG GIGI,TUKANG JAHIT,TUKANG KAYU,TUKANG LAS/PANDAI BESI,TUKANG LISTRIK,TUKANG SOL SEPATU,USTADZ/MUBALIGH,WAKIL BUPATI,WAKIL GUBERNUR,WAKIL PRESIDEN,WAKIL WALIKOTA,WALIKOTA,WARTAWAN,WIRASWASTA
6301,TANAH LAUT,2,1,-,-,17,-,-,82,-,13,2,-,-,-,"116,683",5,162,1,"5,556",204,76,"3,598",-,73,54,-,-,"1,147",18,52,5,74,374,"2,987","33,408",37,599,51,11,-,350,"74,547","4,864",3,-,-,1,-,"1,969","5,552",-,1,"37,028",10,45,5,20,30,22,2,8,"1,034",1,1,-,-,265,152,"4,066","40,505",277,-,-,-,-,1,4,"1,997",6,-,-,420,126,451,13,8,140,353,64,18,4,103,1,-,-,-,-,6,"18,325"
6302,KOTABARU,1,1,-,-,13,1,-,7,-,14,5,-,-,-,"109,045",2,164,1,"4,467",925,19,"3,221",-,54,41,-,-,"1,627",24,17,9,94,373,"2,311","25,677",58,460,32,16,-,118,"70,202","12,237",7,-,7,-,-,"1,509","4,614",-,-,"37,418",559,96,-,15,13,118,1,10,745,-,1,-,-,210,188,503,"19,325",43,1,-,-,-,1,6,754,1,-,-,245,103,298,15,6,95,521,41,17,3,41,1,-,-,-,-,14,"27,850"
6303,BANJAR,1,1,-,1,43,9,-,138,-,45,7,-,-,-,"157,572",-,252,1,"15,861",176,51,"9,488",-,134,256,-,-,"3,599",25,161,19,167,"1,430","4,248","35,057",97,674,39,27,-,682,"124,915",912,6,-,8,3,-,"11,744","8,418",-,1,"77,276",27,207,4,16,67,3,6,25,"2,000",1,1,-,3,527,337,"1,414","63,815",226,6,1,-,-,2,32,"3,297",15,-,-,263,163,751,85,11,437,818,121,50,16,158,1,-,-,-,-,27,"41,870"
6304,BARITO KUALA,1,1,-,-,21,1,-,8,-,12,2,-,-,-,"64,383",-,107,0,"2,213",8,6,"1,345",-,34,92,-,-,"1,292",6,8,4,94,184,"2,790","16,957",58,506,17,8,-,97,"58,041",436,2,-,-,-,-,"2,049","5,319",-,-,"61,560",62,21,-,7,11,6,3,6,"1,277",,-,-,-,465,152,396,"60,346",30,1,-,-,-,-,8,217,-,-,-,205,130,47,15,-,71,156,32,10,2,20,-,-,-,-,-,16,"38,333"
6305,TAPIN,-,-,-,-,8,-,-,11,-,11,-,-,-,-,"45,821",-,78,1,763,5,9,"1,695",-,25,11,-,-,258,3,7,4,84,189,"1,389","5,930",12,321,2,4,-,99,"33,172",31,1,-,1,-,-,"2,290","4,289",1,4,"31,824",3,38,1,6,11,12,1,1,"1,149",1,1,1,-,94,56,688,"30,250",31,3,-,-,-,-,4,795,-,-,-,190,26,95,11,1,82,151,19,7,2,27,1,-,-,-,-,7,"32,729"
6306,HULU SUNGAI SELATAN,1,-,1,-,20,-,-,9,-,16,2,-,-,-,"55,424",-,100,1,"5,069",272,21,"2,118",-,52,33,-,-,678,16,169,2,72,196,"2,783","4,277",22,324,19,18,-,148,"43,422","1,497",3,-,107,-,-,"3,789","6,203",-,1,"40,564",5,83,-,9,15,2,1,2,"1,858",1,3,-,3,284,116,"1,994","29,287",175,-,-,-,-,-,7,614,3,-,-,331,136,165,36,2,160,280,347,13,4,109,1,-,-,-,-,6,"31,407"
6307,HULU SUNGAI TENGAH,1,-,-,-,19,1,-,19,-,8,2,-,-,-,"76,968",-,86,-,704,4,9,524,-,53,37,-,-,183,9,15,1,67,250,"2,322","3,041",46,338,7,9,-,73,"46,313",583,2,-,1,-,-,"3,354","6,644",-,16,"29,001",2,21,5,5,8,-,2,4,"2,002",1,1,-,-,89,110,573,"42,767",85,2,-,-,-,3,10,668,3,-,-,662,23,58,15,7,73,117,20,4,4,134,-,-,-,-,-,6,"46,815"
6308,HULU SUNGAI UTARA,-,-,-,-,16,2,-,31,-,16,4,7,-,-,"66,331",-,91,1,"1,162",36,7,559,-,40,44,-,-,694,3,200,1,114,180,"2,327","1,566",21,259,10,8,-,60,"38,063","1,703",1,-,2,-,-,"5,475","5,635",-,6,"33,831",1,41,2,3,12,12,-,3,971,1,-,-,2,72,115,476,"19,232",453,2,-,-,-,1,3,511,2,-,-,121,44,53,12,9,267,480,15,7,4,34,-,-,-,-,-,2,"51,970"
6309,TABALONG,-,6,-,-,29,-,-,52,-,17,5,-,-,-,"58,831",7,84,1,879,10,9,"1,414",-,87,38,1,-,882,12,12,3,122,256,"2,525","13,878",25,427,32,18,-,126,"38,529",31,4,-,2,-,-,"3,369","5,584",-,1,"50,067",4,51,-,11,10,27,3,6,"1,147",-,3,-,1,126,132,940,"41,591",43,-,-,-,-,2,4,528,-,-,-,310,41,113,9,3,373,137,26,7,2,19,1,-,-,-,-,12,"35,468"
6310,TANAH BUMBU,-,-,-,2,32,2,-,221,-,15,-,1,-,-,"82,468",1,181,1,"4,198",191,6,"1,078",-,100,23,-,-,571,17,28,3,89,408,"7,418","23,255",136,625,16,6,-,248,"74,265","4,062",3,-,1,-,1,"3,157","4,945",-,2,"67,499",67,41,2,9,22,36,1,7,522,-,-,-,1,"1,054",323,323,"20,059",142,-,1,-,-,-,134,"1,470",2,-,-,326,54,323,3,4,79,533,21,6,4,33,1,-,-,-,-,21,"40,450"
6311,BALANGAN,-,-,-,-,14,-,-,10,-,13,1,-,-,-,"27,725",-,-,1,379,2,4,"1,388",-,22,17,-,-,542,7,5,1,55,71,"1,346","3,536",29,261,33,6,-,55,"17,094",7,2,-,-,-,-,828,"2,599",-,-,"30,556",1,47,1,4,9,11,-,-,396,-,-,-,1,74,116,"1,056","30,592",31,-,-,-,-,1,1,331,1,-,-,69,27,38,8,1,42,99,17,4,2,24,0,0,0,0,0,10,"14,013"
6371,BANJARMASIN,7,11,1,1,20,18,1,19,-,161,57,-,-,-,"208,298",45,369,-,"27,846",115,47,"1,261",1,646,"1,041",-,1,"4,392",43,113,74,728,"2,301","4,420","80,418",3,"2,261",160,182,-,837,"136,467",116,75,-,24,6,14,"7,647","16,064",-,4,"90,966",571,948,38,82,122,47,9,138,"5,122",6,15,6,25,16,933,"3,704","2,337",58,22,-,-,2,20,63,"2,125",14,-,-,859,470,742,124,7,657,"1,326",266,152,33,200,-,-,-,-,-,21,"64,833"
6372,BANJARBARU,-,-,-,-,15,-,1,15,-,100,25,-,-,-,"67,248",16,263,-,"4,057",4,18,449,-,312,518,-,-,"1,693",14,33,20,264,"1,446","3,513","32,077",2,"1,867",79,32,-,245,"51,618",16,28,-,1,-,13,"1,655","10,893",-,7,"49,945",62,143,5,23,22,23,8,31,"3,049",1,3,-,2,4,345,835,"2,544",32,1,1,-,-,5,20,778,5,2,1,"2,146",62,302,24,1,93,108,51,35,5,61,-,1,-,1,-,27,"28,908"
6300,KALIMANTAN SELATAN,14,21,2,4,267,34,2,622,-,441,112,8,-,-,"1,136,797",76,"1,937",9,"73,154","1,952",282,"28,138",1,"1,632","2,205",1,1,"17,558",197,820,146,"2,024","7,658","40,379","279,077",546,"8,922",497,345,-,"3,138","806,648","26,495",137,-,154,10,28,"48,835","86,759",1,43,"637,535","1,374","1,782",63,210,352,319,37,241,"21,272",13,29,7,38,"3,280","3,075","16,968","402,650","1,626",38,3,-,2,36,296,"14,085",52,2,1,"6,147","1,405","3,436",370,60,"2,569","5,079","1,040",330,85,963,7,1,-,1,-,175,"472,971"
